─────────────────────────────── Lead Collector ────────────────────────────────
Segments to collect: 8
Target per segment:  300 leads
  [128] overpass     Ceetak Sealing Solutions
  [129] overpass     In Weelde
  [130] overpass     Faber Stukadoors
  [131] overpass     Oldelft Ultrasound
  [132] overpass     TNO Delft - Amstelpark - Bouwinnovatie Lab
  [133] overpass     Brink
  [134] overpass     Solidhome Group
  [135] overpass     Cañete Electro & Groene Energie
  [136] overpass     Delft Hyperloop
  [137] overpass     Veerhhuis Bouwsystemen
  [138] overpass     Steel Framing Company
  [139] overpass     Bouwservice Noordholland
  [140] overpass     Eleo
  [141] overpass     TBP
  [142] overpass     DENS
  [143] overpass     Bellaart Bouw b.v.
  [144] overpass     RVSteel
  [145] overpass     Connect Bouw B.V.
  [146] overpass     De Wolf Maritime Safety
  [147] overpass     Van der Wiel
  [148] overpass     CEMS
  [149] overpass     TWD
  [150] overpass     Pondera
  [151] overpass     Uticon
  [152] overpass     Nobleo Manufacturing
  [153] overpass     Flow Engineering
  [154] overpass     Desto Group
  [155] overpass     Districon
  [156] overpass     Teneo Sales B.V.
  [157] overpass     Breed
  [158] overpass     Alstom
  [159] overpass     Dicomob
  [160] overpass     Deltares
  [161] overpass     Bartec

  Discovered 161 companies
  Finding LinkedIn URLs (this takes ~11 min)…
    ✓ Movares                                        
https://www.linkedin.com/company/movares/
    – Getinge                                        
    – Nobleo Bouw & Infra                            
    – TNO Delft - Stieltjesweg                       
    – ABT                                            
    – TNO Delft - Pieter Calandweg                   
    – TNO Delft - Leeghwaterstraat                   
    ✓ RoboValley                                     
https://www.linkedin.com/company/robovalley/
    – RoboHouse                                      
    – Allseas                                        
    – Peutz                                          
    – Klussenbedrijf Brandt                          
